Cucumber			Cucumber Soup	Cucumber Salad									Sweet Pickle, Pickles, Marinated Cucumbers			
Curry																
Dairy	Plain Yogurt				Grilled Cheese, 	Meat Feast Pizza	Pizza		Paneer Tiki Masala, Supreme Pizza		Chocolate Milk,	Ice Cream, Custard, Cream Cookie	Paneer			
Dates						Bacon Wrapped Dates										
Durian																
Edible Root																
Egg						Egg Salad, Omelet, Bacon and Eggs	Yorkshire Pudding, Toad in the Hole			Futo Maki	Egg Nog,	Marshmellows	Fried Egg, Scrambled Egg, Boiled Egg			
Eggplant									Grilled Eggplant, Stuffed Eggplant, Eggplant Parm							
Fig	Fig Yogurt	Fig Jelly									Fig Smoothie, Fig Juice					
Fish					Fish Sandwich		Salmon Patties, Tuna Potato			Fish Sticks, Fish and Chips, Fish Dinner, Sushi, California Roll, Cooked Fish, Cooked Salmon			Raw Anchovy, Raw Bass, Raw Carp, Raw Catfish, Raw Charr, Raw Eel, Raw Grouper, Raw Herring, Raw Jellyfish, Raw Mudfish, Raw Perch, Raw Scallop, Raw Snapper, Raw Tilapia, Raw Trout, Raw Tuna, Raw Walleye, Green Heart Fish			
Frog									Fish Lettuce Wrap	Cooked Frog Legs			Raw Frog			
Garlic						Garlic Chicken	Garlic Bread, Garlic Mashed Potatoes					Spice Bun,				
Ginger						Ginger Chicken	Ginger Bread				Ginger Ale	Candied Ginger, Ginger Snaps				
Grains							Cheese on Toast, Waffles, Pancakes, Soft Pretzel, Donut		Fairy Bread			French Toast, Creeper Cookie	Toast, Bread, Biscuit, Biscuits and Gravy, Museli, Cracker			
Grape	Grape Yogurt	Grape Jelly		Grape Salad							Grape Smoothie, Grape Juice, Grape Soda	Jelly Donut, Raisin Cookies	Raisins			
Grapefruit	Grapefruit Yogurt	Grapefruit Jelly									Grapefruit Smoothie, Grapfruit Juice, Grapefruit Soda					
Gooseberry	Gooseberry Yogurt	Gooseberry Jelly									Gooseberry Smoothie	Gooseberry Pie				
Honey/Sugar					Honey Sandwich	Honey Glazed Ham, Honey Soy Ribs, Char Siu	Honeybread				Energy Drink	Honeybun, Patreon Pie, Caramel Ice Cream, Baklava, Gummy Bears, Jellybeans, Frosted Donut, Powdered Donut	Honey, Taffy, Caramel			
Kiwi	Kiwi Yogurt	Kiwi Jelly									Kiwi Smoothie, Kiwi Juice					
Leek			Leek Bacon Soup													
Lemon	Lemon Yogurt	Lemon Jelly				Lemon Chicken					Lemonade, Lemon Smoothie	Lemon Meringue, Candied Lemon	Lemon Bar			
Lettuce				Spring Salad					Vegetarian Lettuce Wrap, Spicy Greens							
Lime	Lime Yogurt	Lime Jelly									Lime Smoothie, Lime Juice, Lemon-Lime Soda	Keylime Pie,				
Mango		Mango Chutney, Mango Jelly									Mango Smoothie, Mango Juice					
Mollusks										Cooked Calamari, Cooked Clam, Cooked Scallop, Cooked Snail, Cooked Octopus			Raw Octopus, Raw Calamari, Raw Clam, Raw Snail			
Mushroom						Bacon Mushroom Burger							Grilled Mushroom. Stuffed Mushroom			
Mustard						Spicy Mustard Pork	Soft Pretzel and Mustard									
Mutton			Lamb Barley Soup			Honey Lemon Lamb, Lamb Kebab, Lamb with Mint Sauce, Cooked Mutton	Shepherd's Pie									
Nutmeg																
Nuts							Walnut Bread,					Candied Walnut, Marzipan, Peanut Butter Cookie	Pistachio Butter, Trail Mix, Roasted Chestnut, Peanut Butter, Almond Butter, Cashew 			
Oat																
Okra									Okra Creole	Shrimp Pork Okra Hushpuppies			Okra Chips			
Onion			Onion Soup, Braised Onions				Naan		Grilled Skewer							
Orange	Orange Yogurt	Orange Jelly									Orange Smoothie, Orange Juice	Jaffa				
Papaya	Papaya Yogurt	Papaya Jelly									Papaya Smoothie, Papaya Juice					
Parsnip									Herb Butter Parsnip,							
Peach	Peach Yogurt	Peach Jelly									Peach Smoothie, Peach Juice	Peach Cobbler,				
Pear	Pear Yogurt	Pear Jelly									Pear Smoothie, Pear Juice					
Peas			Split Pea Soup, Pea and Ham Soup						Steamed Peas, Peas And Celery, 							
Pecan												Pralines				
Persimmon	Persimmon Yogurt	Persimmon Jelly						Poached Pear			Persimmon Smoothie, Persimmon Juice					
Pineapple						Pineapple Ham										
Plum	Plum Yogurt	Plum Jelly			Plum Jelly Sandwich						Plum Smoothie, Plum Juice					
Pomegranate	Pomegranate Yogurt	Pomegranate Jelly									Pomegranate Smoothie, Pomegranate Juice					
Pork					Hotdog, Bacon Cheeseburger, BLT,  BBQ Pulled Pork, Ham and Sweet Pickle Sandwich	Breaded Porkchop, Baked Ham, Hearty Breakfastm Epic Bacon, Chorizo, Pepperoni, Pork Sausage, Cooked Porkchop	Bangers and Mash, Battered Sausage, Ploughman's Lunch, Pork Lo Mein		Pork Lettuce Wrap			Chocolate Bacon	Raw Porkchop			
Potato			Potato Leek Soup, Potato Soup			Hash	Buttered Potato, Mashed Potato, Baked Potato, Scallion Baked Potato, Potato Cakes, Loaded Baked Potato, Potato Salad						Fries			
Pumpkin	Pumpkin Yogurt		Pumpkin Soup				Pumpkin Bread					Pumpkin Oat Scones				
Rabbit						Cooked Rabbit							Raw Rabbit			
Radish				Summer Radish Salad, Summer Squash with Radish												
Raspberry	Raspberry Yogurt	Raspberry Jelly									Raspberry Smoothie, Raspberry Juice, Raspberry Iced Tea	Raspberry Pie, Jam Roll				
Rhubarb	Rhubarb											Gingered Rhubarb Tart				
Rice			Rice soup				Rainbow Curry, Curry Rice, Mushroom Risotto, Fried Rice		Veggie Stirfry			Mochi	Rice Cake			
Sausage								Coconut Shrimp								
Sesame Seeds													Sesame Snaps			
Shellfish										Cooked Crab, Cooked Crayfish, Cooked Shrimp, 			Raw Crab, Raw Crayfish, Raw Clam			
Soy						Cooked Tofeak, Cooked Tofacon, Cooked Tofegg, Cooked Tofutton, Cooked Toficken, Cooked Tofabbit, Cooked Tofurkey, Cooked Tofenison					Soy Milk,		Firm Tofu, Silken Tofu, Raw Tofeak, Raw Tofacon, Raw Tofegg, Raw Tofutton, Raw Toficken, Raw Tofabbit, Raw Tofurkey, Raw Tofenison			
Spice Leaf											Root Beer, Cola Soda	Peppermint				
Spider eye			Spider Eye Soup													
Starfruit	Starfruit Yogurt	Starfruit Jelly									Starfruit Smoothie, Starfruit Juice					
Strawberry	Strawberry Yogurt	Strawberry Jelly		Strawberry Salad							Strawberry Smoothie, Strawberry Juice, Strawberry Soda	Strawberry Ice Cream, Strawberry Pie, Chocolate Strawberry				
Sunflower Seeds				Sunflower Broccoli Salad			Sun Flower Wheat Roll,						Salted Sun Flower Seed,			
Sweet Potato							Baked Sweet Potato, Mashed Sweet Potatoes					Sweet Potato Souffle, Sweet Potato Pie, Candy Sweet Potatoes				
Tea											Sweet Tea, Cup of Tea, Chai Tea, Cup of Tea					
Tomato							Spaghetti, Tomato Soup									
Turkey						Cooked Turkey							Raw Turkey			
Turnip			Turnip Soup						Baked Turnips, Roasted Root Veggie Medley							
Turtle										Cooked Turtle			Raw Turtle			
Vanilla Bean	Vanilla Yogurt											Vanilla Ice Cream,				
Venison						Cooked Venison							Raw Venison			
Watermelon	Watermelon Jelly										Melon Smoothie, Melon Juice					
Zucchini							Zucchini Fries. Zucchini Bread,		Zucchini Bake, Zesty Zucchini							
NONE			Garden Soup, Seed Soup, Veggie Soup, Meaty Stew	Mixed Salad,	Footlong	Dim Sum, Sausage, Vindaloo, Zombie Jerky	Sausage Roll	Fruit Salad	Veggie Strips, Old World Veggie Soup,		Fruit Punch,	Fruit Crumble,	Gravy, Stock, Roasted Pumpkin Seeds			
